   0.06494,  -0.12417,   0.16104,   0.05564,  -0.19858,   0.10834,   0.15484,   0.07424,  -0.25438,   0.21684,   0.31295,   0.16104,   0.17034,  -0.05597,   0.00603,  -0.22028
   0.06804,  -0.07767,   0.04323,   0.15484,   0.09594,   0.09284,   0.11764,   0.09594,  -0.18308,  -0.08077,  -0.25748,  -0.00327,   0.10524,  -0.19238,  -0.08077,   0.07114
  -0.17377,   0.16414,   0.01533,   0.06494,   0.18274,  -0.05907,   0.03393,  -0.17067,  -0.10557,   0.09284,  -0.03117,  -0.03117,   0.17034,  -0.04667,   0.03393,   0.02153
   0.20134,   0.12384,   0.13934,  -0.33188,  -0.08697,  -0.10247,   0.12694,   0.08044,  -0.07767,  -0.14277,   0.24164,  -0.25128,   0.22614,   0.04944,   0.20134,  -0.16137
   0.15174,   0.01223,   0.09904,  -0.33808,   0.16414,   0.02773,   0.06494,   0.15174,  -0.01567,   0.25714,  -0.24508,  -0.09627,   0.00293,  -0.25128,   0.21064,   0.17034
  -0.19858,  -0.00637,   0.01533,  -0.23268,   0.14244,   0.13314,   0.00913,  -0.05597,  -0.01567,   0.23234,  -0.01257,   0.08044,  -0.13967,  -0.02187,   0.03703,   0.09904
  -0.05907,   0.09284,  -0.01567,   0.22304,  -0.04047,   0.04013,   0.04323,  -0.01257,  -0.07147,   0.16104,   0.13624,   0.13624,  -0.05907,  -0.17067,  -0.22648,  -0.17067
   0.05874,   0.02463,  -0.08697,   0.14244,  -0.00327,  -0.13037,  -0.01877,  -0.16447,  -0.08697,   0.02153,  -0.23888,   0.11454,   0.11144,  -0.22028,  -0.24818,   0.09284
  -0.06837,  -0.01567,  -0.09627,   0.30365,   0.12384,  -0.19548,   0.13314,  -0.05907,   0.13624,  -0.08387,  -0.18308,   0.07424,   0.02773,  -0.10557,  -0.29158,   0.04944
   0.11764,   0.07114,   0.05874,   0.03703,  -0.09937,  -0.02187,  -0.01257,   0.04323,  -0.14897,  -0.13657,   0.15794,   0.12074,  -0.01567,  -0.11487,   0.12694,  -0.13657
  -0.11797,   0.10524,  -0.12417,  -0.07147,   0.02773,   0.03703,  -0.00637,   0.06494,  -0.10557,  -0.13967,  -0.31018,  -0.04047,   0.17654,  -0.13967,   0.16724,   0.10524
  -0.19238,  -0.04667,  -0.18308,  -0.31018,   0.03393,   0.04013,   0.10214,  -0.16137,  -0.04357,   0.03083,  -0.00017,  -0.11797,   0.02153,  -0.07147,   0.27885,  -0.15517
   0.04634,   0.02463,   0.16414,  -0.34428,   0.04944,   0.14554,   0.07734,   0.01843,   0.18274,  -0.20788,  -0.11487,  -0.03737,   0.18274,  -0.33188,   0.14244,  -0.08387
  -0.00017,   0.06804,   0.17034,  -0.13657,   0.04323,   0.15794,  -0.09937,   0.12384,   0.08974,   0.09904,  -0.18308,   0.15484,  -0.05287,  -0.19548,   0.18274,   0.05564
  -0.06217,   0.13624,   0.06804,  -0.02807,  -0.02497,   0.06804,   0.07734,  -0.09627,   0.10524,  -0.00637,   0.00913,   0.11144,  -0.20168,   0.05874,   0.03083,  -0.14897
   0.11454,   0.08664,   0.01223,   0.02463,  -0.17688,  -0.00637,   0.07734,   0.17034,  -0.23578,   0.16724,   0.12074,  -0.05597,   0.08974,  -0.21718,  -0.24818,  -0.05907
   0.16104,   0.01843,  -0.07147,   0.15484,   0.07734,  -0.26988,  -0.04977,  -0.26368,   0.03083,   0.07734,  -0.41559,  -0.07147,   0.09284,  -0.22648,  -0.09937,  -0.02807
   0.11454,   0.13934,  -0.14897,   0.06804,   0.14244,  -0.19238,   0.04323,   0.11144,   0.24784,   0.01843,   0.00603,   0.10834,   0.15174,   0.09284,  -0.22028,   0.01843
   0.05874,   0.00293,  -0.07457,   0.07424,   0.08354,   0.05254,   0.06184,   0.22304,  -0.13037,  -0.27918,  -0.17377,   0.13314,  -0.02497,  -0.21408,   0.05874,   0.15794
  -0.20168,   0.12384,  -0.12107,  -0.05907,   0.01533,  -0.00947,  -0.13037,  -0.00637,   0.03393,   0.13624,  -0.15827,  -0.02807,  -0.00017,  -0.09627,   0.13314,  -0.02497
  -0.17688,  -0.07457,  -0.23888,  -0.19858,   0.08044,   0.11454,  -0.04977,   0.05874,   0.17034,  -0.02807,   0.12384,   0.08974,  -0.22648,   0.09284,   0.07424,  -0.24508
   0.04323,  -0.00327,   0.03393,  -0.22028,   0.04323,   0.17654,  -0.02497,   0.16414,  -0.04047,  -0.00017,  -0.36288,   0.09284,  -0.07457,  -0.18928,   0.01223,   0.02773
  -0.06527,  -0.04357,   0.12074,  -0.28538,  -0.06837,   0.08354,  -0.04667,   0.20134,  -0.02497,   0.10214,  -0.07767,   0.01223,  -0.25748,   0.05874,  -0.07767,  -0.11487
   0.18894,  -0.10247,  -0.03427,  -0.03427,  -0.08077,   0.07114,  -0.01257,   0.14554,   0.13004,  -0.21718,   0.20134,  -0.11177,  -0.32568,   0.19204,   0.03083,  -0.11487
